date,agency,subject,message,station,cause
11/15/22 9:02 PM,NYC,"MANH, 2 and 3 Trains, Some Delays",Northbound 2/3 trains are running with delays after we addressed a door problem on a train at 72 St.,72 St,door
11/15/22 8:50 PM,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while NYPD responds to an unauthorized person on the tracks at Nostrand Av.,Nostrand Av,unauthorized person
11/15/22 8:34 PM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we address a door problem on a train at 79 St.,79 St,door
11/15/22 8:26 PM,NYC,"BKLYN, N and R Trains, Delays",Southbound N/R trains are delayed while we conduct urgent track maintenance near 59 St (Brooklyn).,59 St (Brooklyn),track maintenance
11/15/22 8:23 PM,NYC,"MANH, B and D Trains, Delays",You may wait longer for a southbound B/D train in Brooklyn after we addressed a signal problem near 42 St-Bryant Pk.,42 St-Bryant Pk,signal
11/15/22 7:32 PM,NYC,"MANH, N Train, Delays",Southbound N trains are running with delays after we investigated reports of people being disruptive at 86 St (Brooklyn).,86 St (Brooklyn),disruptive
11/15/22 7:22 PM,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are running with delays after we investigated reports of people being disruptive at 103 St.,103 St,disruptive
11/15/22 6:58 PM,NYC,"BKLYN, G Train, Delays",Church Av-bound G trains are running with delays after we removed a train with a mechanical problem from service at 4 Av-9 St.,4 Av-9 St,mechanical problem
11/15/22 6:45 PM,NYC,"MANH, C, E, F, and M Trains, Multiple Changes",Northbound C/E/F and Forest Hills-bound M trains are running with delays while we address a signal problem near Lexington Av/53 St. Additional Service Changes: Some C trains are running express from Canal St to 59 St-Columbus Circle Some M trains are running via the F line from 47-50 Sts-Rockefeller Ctr to Jackson Hts-Roosevelt Av,Lexington Av/53 St,signal
11/15/22 6:42 PM,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while we remove a train with a mechanical problem from service at Broadway Junction.,Broadway Junction,remove a train
11/15/22 6:26 PM,NYC,"BX, 2 Train, Delays",Northbound 2 trains are running with delays after EMS responded to a person in need of medical help at Jackson Av. Northbound 2 trains have resumed running on the local track from 3 Av-149 St to E 180 St.,Jackson Av,EMS
11/15/22 5:57 PM,NYC,"BX, 2 Train, Local to Express","Northbound 2 trains are running express from 3 Av-149 St to E 180 St while we request medical help for someone at Jackson Av. If your stop is skipped, take a southbound train.",Jackson Av,medical help
11/15/22 5:53 PM,NYC,"MANH, R and W Trains, Delays",Southbound R/W trains are delayed while we remove a vandalized train car from service at 8 St-NYU.,8 St-NYU,vandalized
11/15/22 5:52 PM,NYC,"MANH, N, R, and W Trains, Some Delays",Southbound N/R/W trains are running with delays after we addressed a door problem on a train at Lexington Av/59 St.,Lexington Av/59 St,door
11/15/22 5:44 PM,NYC,"MANH, A, C, and E Trains, Multiple Changes",Southbound C/E trains are running at slower speeds while we address a signal problem near 34 St-Penn Station. Some E trains will run express from 42 St-Port Authority Bus Terminal to Canal St. Expect delays in A/C/E service while trains share tracks.,slower speeds while we address a signal problem near 34 St-Penn Station,signal
11/15/22 5:38 PM,NYC,"QNS, 7 Train, Delays",Main St-bound 7 trains are running with delays after we moved a train that had its emergency brake cord pulled at Junction Blvd.,Junction Blvd,brake
11/15/22 4:50 PM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are running with delays after NYPD responded to a person being disruptive at 72 St.,72 St,disruptive
11/15/22 4:47 PM,NYC,"6 Train, Delays",Northbound 6 trains are running with delays after we investigated reports of someone being disruptive earlier in the Bronx.,Bronx,disruptive
11/15/22 4:35 PM,NYC,"QNS, E and F Trains, Delays",Southbound E/F trains are running with delays after we moved multiple trains that had their brakes activated near Elmhurst Av.,Elmhurst Av,brake
11/15/22 4:18 PM,NYC,"MANH, A, C, and E Trains, Delays",Northbound A/C/E trains are delayed while we remove a train with a mechanical problem from service at Canal St.,Canal St,remove a train
11/15/22 4:06 PM,NYC,"MANH, C and E Trains, Delays",Northbound C/E trains are delayed while we investigate a report of a person being disruptive on a train at Spring St.,Spring St,disruptive
11/15/22 3:34 PM,NYC,"MANH, F and M Trains, Delays",Coney Island-bound F and Metropolitan Av-bound M trains are delayed while we address a door problem on a train at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,door
11/15/22 3:17 PM,NYC,"BKLYN, B Train, Delays",Northbound B trains are running with delays after we moved a train that had its emergency brake cord pulled at Cortelyou Rd.,Cortelyou Rd,brake
11/15/22 3:05 PM,NYC,"MANH, F and M Trains, Delays",Coney Island-bound F and Metropolitan Av-bound M trains are delayed while NYPD responds to a person being disruptive at W 4 St-Wash Sq.,W 4 St-Wash Sq,disruptive
11/15/22 2:52 PM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we address a mechanical problem on a train at 14 St.,14 St,mechanical problem
11/15/22 2:32 PM,NYC,"MANH, C and E Trains, Delays",Northbound C/E trains are delayed while NYPD responds to a person being disruptive on a train at 14 St.,14 St,disruptive
11/15/22 1:17 PM,NYC,"BKLYN, MANH, L Train, Delays",8 Av-bound L trains are delayed while we investigate a door problem on a train at DeKalb Av.,DeKalb Av,door
11/15/22 12:52 PM,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we remove a train in need of cleaning from service at Freeman St.,Freeman St,remove a train
11/15/22 12:28 PM,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are running with delays after we moved a train car that was vandalized from service at Brighton Beach.,Brighton Beach,vandalized
11/15/22 12:13 PM,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we remove a train with a mechanical problem from service at 14 St-Union Sq.,14 St-Union Sq,remove a train
11/15/22 11:24 AM,NYC,"QNS, E, F, M, and R Trains, Delays",Southbound E/F/M/R trains are delayed while we investigate an earlier signal problem near 36 St.,36 St,signal
11/15/22 10:00 AM,NYC,"N and Q Trains, Some Reroutes",Southbound N/Q trains are delayed while we address a signal problem on the Manhattan Bridge. Some southbound N/Q trains will run on the R line from Canal St to DeKalb Av. Listen for train announcements to hear if your train will be rerouted.,,signal
11/15/22 9:38 AM,NYC,"MANH, R and W Trains, Local to Express",Northbound R/W trains are running on the express track from Canal St to 34 St-Herald Sq. EMS is responding to someone in need of medical help at Canal St.,Canal St,EMS
11/15/22 9:24 AM,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we request NYPD assistance for someone being disruptive on a train at Grand Central-42 St.,Grand Central-42 St,disruptive
11/15/22 9:05 AM,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after we requested EMS for someone in need of medical assistance on a train at 14 St-Union Sq.,14 St-Union Sq,EMS
11/15/22 8:18 AM,NYC,"QNS, M and R Trains, Delays",M/R trains are delayed in both directions while FDNY extinguishes a track fire at Grand Av-Newtown.,Grand Av-Newtown,fire
11/15/22 8:04 AM,NYC,"MANH, A Train, Delays",Southbound A trains are running with delays after we removed a train with a mechanical problem from service at W 4 St-Wash Sq. Southbound A express service has resumed from 59 St-Columbus Circle to Canal St.,W 4 St-Wash Sq,mechanical problem
11/15/22 8:01 AM,NYC,"QNS, J Train, Delays",J trains are running with delays in both directions after we moved a train that had its brakes activated at 104 St.,104 St,brake
11/15/22 8:01 AM,NYC,"BX, D Train, Local to Express",Southbound D trains are running express from Bedford Park Blvd to Tremont Av while EMS responds to someone in need of medical help at Tremont Av.,Tremont Av,EMS
11/15/22 7:58 AM,NYC,"MANH, A and D Trains, Express to Local",Northbound A/D trains are running on the local track from 59 St-Columbus Circle to 125 St while FDNY investigates a report of smoke at 125 St.,125 St,smoke
11/15/22 7:38 AM,NYC,"MANH, A Train, Express to Local",Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St. We're removing a train with a mechanical problem from service at W 4 St-Wash Sq.,W 4 St-Wash Sq,mechanical problem
11/15/22 7:16 AM,NYC,"N and Q Trains, Some Reroutes",Southbound N/Q trains are delayed while we address a signal problem on the Manhattan Bridge. Some southbound N/Q trains are running on the R line from Canal St to DeKalb Av.,,signal
11/15/22 6:44 AM,NYC,"BKLYN, 2, 3, 4, and 5 Trains, Delays",Northbound 2/3/4/5 trains are running with delays after NYPD responded to an unauthorized person on the tracks at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,unauthorized person
11/15/22 6:17 AM,NYC,"BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we request EMS for someone on a train at Grand Army Plaza and remove that train from service.,Grand Army Plaza and remove that train from service,EMS
11/15/22 6:10 AM,NYC,"QNS, E, M, and R Trains, Delays",Jamaica-bound E and Forest Hills-71 Av-bound R/M trains are delayed while we remove a train with a mechanical problem from service at Northern Blvd.,Northern Blvd,remove a train
11/15/22 5:18 AM,NYC,"MANH, A Train, Local to Express","Southbound A trains are running express from 145 St to 125 St while we address a signal problem near 145 St. For service to/from 135 St, take a northbound train.",145 St,signal
11/15/22 4:44 AM,NYC,"1 and 2 Trains, Local to Express","Southbound 1/2 trains are running express from 14 St to Chambers St while we replace rails near Houston st. For service to/from bypassed stations, take a northbound train.",Houston st,replace rails
11/15/22 3:56 AM,NYC,"BKLYN, A Train, Delays",Northbound A trains are delayed while we replace rails near Kingston-Throop Avs.,Kingston-Throop Avs,replace rails
11/15/22 3:42 AM,NYC,"MANH, N Train, Delays",Northbound N trains are delayed while we request NYPD assistance for an unauthorized person on the tracks near City Hall.,City Hall,unauthorized person
11/15/22 3:31 AM,NYC,"BKLYN, A Train, Delays",Southbound A trains are delayed while we replace rails near Clinton-Washington Avs.,Clinton-Washington Avs,replace rails
11/15/22 2:12 AM,NYC,"BKLYN, R Train, Delays",R trains are delayed in both directions while NYPD responds to an unauthorized person on the tracks near 86 St.,86 St,unauthorized person
11/15/22 1:24 AM,NYC,"MANH, J Train, Boarding Change",Jamaica-bound J trains will arrive/depart from Broad St-bound track at Broad St while we perform switch maintenance near that station.,Broad St while we perform switch maintenance near that station,switch
11/15/22 12:54 AM,NYC,"MANH, 1 and 2 Trains, Delays",Northbound 1/2 trains are delayed while NYPD responds to a customer altercation at 96 St.,96 St,customer altercation
11/15/22 12:44 AM,NYC,"BKLYN, Southbound D Train, Stations Skipped-Dekalb Av","Southbound D trains will not stop at DeKalb Av while we conduct track maintenance in the area. The next stop for southbound D trains after Grand St will be Atlantic Av-Barclays Ctr. For service to/from DeKalb Av, use N/Q or R trains",DeKalb Av while we conduct track maintenance in the area,track maintenance
11/14/22 10:37 PM,NYC,"BKLYN, L Train, Delays",Canarsie-Rockaway Pkwy-bound L trains are delayed while NYPD responds to a passenger being disruptive at Graham Av.,Graham Av,disruptive
11/14/22 9:32 PM,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we address a mechanical problem on a train at 59 St.,59 St,mechanical problem
11/14/22 9:07 PM,NYC,"QNS, M and R Trains, Delays",71 Av-bound M/R trains are delayed while we address a door problem on a train at 67 Av.,67 Av,door
11/14/22 9:03 PM,NYC,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we address a signal problem at 34 St-Penn Station.,34 St-Penn Station,signal
11/14/22 7:55 PM,NYC,"E, F, M, and R Trains, Delays",E/F/M/R trains are running with delays in both directions following multiple incidents in Queens. What Happened? We moved a train that had its brakes activated near 46 St. We removed a train car in need of cleaning from service at 21 St-Queensbridge. NYPD removed an unauthorized person from the tracks at Jamaica-179 St. NYPD responded to a person being disruptive at Jackson Hts-Roosevelt Av.,46 St,brake
11/14/22 7:49 PM,NYC,"MANH, A and D Trains, Delays",Northbound A/D trains are running with delays after we removed a train car that needed cleaning from service at 59 St-Columbus Circle.,59 St-Columbus Circle,cleaning
11/14/22 5:52 PM,NYC,"E, F, M, and R Trains, Delays",E/F/M/R trains are running with extensive delays in both directions. What Happened? We moved a train that had its brakes activated near 46 St. We removed a train car in need of cleaning from service at 21 St-Queensbridge. NYPD removed an unauthorized person from the tracks at Jamaica-179 St. NYPD responded to a person being disruptive at Jackson Hts-Roosevelt Av. Additional Service Changes: Some E/F trains will make local stops in Queens.,46 St,brake
11/14/22 5:46 PM,NYC,"QNS, F Train, Delays",Southbound F trains are delayed while we remove a train car in need of cleaning from service at 21 St-Queensbridge.,21 St-Queensbridge,remove a train
11/14/22 5:41 PM,NYC,"QNS, E and F Trains, Delays",Northbound E/F trains are delayed while we request NYPD assistance with a person being disruptive at Jackson Hts-Roosevelt Av.,Jackson Hts-Roosevelt Av,disruptive
11/14/22 5:37 PM,NYC,"BKLYN, C Train, Delays",Southbound C trains are delayed while we remove a vandalized train car from service at Liberty Av.,Liberty Av,vandalized
11/14/22 5:33 PM,NYC,"MANH, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we investigate why a train's brakes were activated near Wall St.,Wall St,brake
11/14/22 5:28 PM,NYC,"QNS, F Train, Delays",F trains are delayed in both directions while we request NYPD assistance with an unauthorized person on the tracks at Jamaica-179 St.,Jamaica-179 St,unauthorized person
11/14/22 5:22 PM,NYC,"BKLYN, N, Q, R, and W Trains, Delays",N/Q/R/W trains are running with delays in both directions after we removed a train with a mechanical problem from service at DeKalb Av. D/N/Q trains have resumed making regular station stops.,DeKalb Av,mechanical problem
11/14/22 5:13 PM,NYC,"QNS, M and R Trains, Delays",Bay Ridge-bound R and Metropolitan Av-bound M trains are delayed while we investigate a report of people being disruptive at Woodhaven Blvd.,Woodhaven Blvd,disruptive
11/14/22 5:12 PM,NYC,"QNS, E, F, M, and R Trains, Delays",Jamaica-bound E/F and 71 Av-bound M/R trains are running with delays after we moved a train that had its brakes activated near 46 St. Northbound E/F trains have resumed making regular stops in Queens.,46 St,brake
11/14/22 5:03 PM,NYC,"BX, BKLYN, 2 and 3 Trains, Multiple Changes",Northbound 2 trains are running via the 5 from Nevins St to 149 St-Grand Concourse. Northbound 2/3 trains are delayed while we remove a train with a mechanical problem from service at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,remove a train
11/14/22 5:03 PM,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are running with delays after we investigated a report of people being disruptive at Hoyt-Schermerhorn Sts.,Hoyt-Schermerhorn Sts,disruptive
11/14/22 5:02 PM,NYC,"MANH, R Train, Delays",Southbound R trains are running with delays after we requested NYPD assistance with people being disruptive at 86 St.,86 St,disruptive
11/14/22 4:47 PM,NYC,"QNS, E and F Trains, Delays",Northbound E/F trains are delayed while we investigate why a train's brakes activated near 46 St.,46 St,brake
11/14/22 4:47 PM,NYC,"1 Train, Delays",Northbound 1 trains are running with delays after we addressed a door problem on a train at WTC Cortlandt St and addressed a signal problem at 34 St.,WTC Cortlandt St and addressed a signal problem at 34 St,door
11/14/22 4:46 PM,NYC,"MANH, QNS, 7 Train, Delays",34 St-Hudson Yards-bound 7 trains are delayed while we investigate what activated a train's brakes at 61 St-Woodside.,61 St-Woodside,brake
11/14/22 4:35 PM,NYC,"QNS, E and M Trains, Delays",World Trade Center-bound E and Metropolitan Av-bound M trains are delayed while we investigate why a train's brakes activated near Court Sq-23 St.,Court Sq-23 St,brake
11/14/22 4:30 PM,NYC,"A and C Trains, Multiple Changes","A/C trains are running with extensive delays in both directions. Some A trains will make local stops while we work to get trains back on schedule. What Happened? We conducted urgent track maintenance near Jay St-MetroTech. FDNY extinguished a track fire near Jay St-MetroTech. Alternative Service: For service between Manhattan and Brooklyn, consider a 2/3/4/5/D/F/J/L train. For service in Brooklyn, consider a B25 bus. For service in The Rockaways, consider a Q22 bus. From Broadway Junction to Manhattan, transfer to a J/L train. LIRR is cross-honoring between Far Rockaway and Penn Station.",Jay St-MetroTech,track maintenance
11/14/22 4:09 PM,NYC,"BKLYN, A and C Trains, Delays",A/C trains are delayed in both directions while we investigate a report of smoke near Jay St-MetroTech.,Jay St-MetroTech,smoke
11/14/22 4:09 PM,NYC,"BKLYN, D, N, and R Trains, Delays",Northbound D/N/R trains are running with delays after we removed a train with a mechanical problem from service at 4 Av-9 St.,4 Av-9 St,mechanical problem
11/14/22 3:55 PM,NYC,"BKLYN, N and Q Trains, Delays",Southbound N/Q trains are delayed while we investigate why a train's brakes activated near DeKalb Av.,DeKalb Av,brake
11/14/22 3:54 PM,NYC,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we remove a train with a door problem from service at 23 St.,23 St,remove a train
11/14/22 3:52 PM,NYC,"MANH, 4 and 5 Trains, Delays",Northbound 4/5 trains are delayed while we request EMS assistance for a person in need at 125 St.,125 St,EMS
11/14/22 3:33 PM,NYC,"BKLYN, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we investigate why a train's brakes were activated at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,brake
11/14/22 3:01 PM,NYC,"BKLYN, MANH, A, C, E, and F Trains, Multiple Changes","No southbound A service from Jay St-MetroTech to Euclid Av. C train service between Euclid Av and 168 St has been suspended. What's Happening? We're conducting urgent track maintenance near Jay St-MetroTech. Additional Service Changes: Southbound A trains are running on the F line from W 4 St-Wash Sq to Jay St-MetroTech. The last stop on some southbound A trains will be 2 Av on the F line or World Trade Center on the E line. Expect delays in A/E/F service. The last stop on southbound A trains will be Chambers St or Jay St-MetroTech. A trains are making all local stops in Brooklyn and Manhattan. The last stop on some northbound A trains will be Broadway Junction. Alternative Service: For service between Manhattan and Brooklyn, consider a 2/3/4/5/D/F/J/L train. For service in Brooklyn, consider a B25 bus. For service in The Rockaways, consider a Q22 bus. From Broadway Junction to Manhattan, transfer to a J/L train. LIRR is cross-honoring between Far Rockaway and Penn Station. See a station agent for a free courtesy pass to continue your trip.",Jay St-MetroTech,track maintenance
11/14/22 2:32 PM,NYC,"BKLYN, MANH, A, C, E, and F Trains, Multiple Changes","No southbound A service from Jay St-MetroTech to Euclid Av. C train service between Euclid Av and 168 St has been suspended. What's Happening? We're conducting urgent track maintenance near Jay St-MetroTech. Additional Service Changes: Southbound A trains are running on the F line from W 4 St-Wash Sq to Jay St-MetroTech. The last stop on some southbound A trains will be 2 Av on the F line or World Trade Center on the E line. Expect delays in A/E/F service. The last stop on southbound A trains will be Chambers St or Jay St-MetroTech. A trains are making all local stops in Brooklyn and Manhattan. Alternative Service: For service between Manhattan and Brooklyn, consider a 2/3/4/5/D/F/J/L train. For service in Brooklyn, consider a B25 bus. For service in The Rockaways, consider a Q22 bus. From Broadway Junction to Manhattan, transfer to a J/L train. LIRR is cross-honoring between Far Rockaway and Penn Station. See a station agent for a free courtesy pass to continue your trip.",Jay St-MetroTech,track maintenance
11/14/22 1:52 PM,NYC,"BKLYN, A and C Trains, Delays",Southbound A/C trains are delayed while we conduct urgent track maintenance near Jay St-MetroTech.,Jay St-MetroTech,track maintenance
11/14/22 1:33 PM,NYC,"MANH, QNS, E, F, and M Trains, Multiple Changes",Southbound F trains are running via the M from 36 St to 47-50 Sts-Rockefeller Ctr. We are requesting NYPD assistance for someone being disruptive on a train at 21 St-Queensbridge. Expect delays in E/M service while they share the track with rerouted trains.,21 St-Queensbridge,disruptive
11/14/22 1:30 PM,NYC,"BKLYN, B and Q Trains, Delays",Southbound B/Q trains are delayed while we investigate what caused a train's brakes to be activated at DeKalb Av.,DeKalb Av,brake
11/14/22 1:19 PM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we remove a train with a mechanical problem from service at 137 St-City College.,137 St-City College,remove a train
11/14/22 12:27 PM,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we request NYPD assistance for an individual being disruptive at 59 St.,59 St,disruptive
11/14/22 10:43 AM,NYC,"MANH, A and C Trains, Delays",A/C trains are running with delays in both directions after we addressed a switch problem at 145 St. C service has resumed between 125 St and 168 St. A service has resumed between 145 St and 168 St.,145 St,switch
11/14/22 10:25 AM,NYC,"MANH, A, B, C, and D Trains, Delays",Southbound A/B/C/D trains are running with delays after we investigated why a train's brakes were activated at 59 St-Columbus Circle. Southbound A trains have resumed running on the express track from 59 St-Columbus Circle to Canal St.,59 St-Columbus Circle,brake
11/14/22 10:07 AM,NYC,"MANH, A and C Trains, Delays",Northbound A/C trains are delayed while we address a switch problem at 145 St.,145 St,switch
11/14/22 10:06 AM,NYC,"MANH, A, B, C, D, and E Trains, Multiple Changes",Southbound A/B/C/D/E trains are delayed. Southbound A local from 59 St-Columbus Circle to Canal St. We are investigating why a train's brakes were activated at 59 St-Columbus Circle. Southbound A trains will arrive on the local track at 34 St-Herald Sq.,59 St-Columbus Circle,brake
11/14/22 9:59 AM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are running with delays after we investigated a report of smoke at Chambers St.,Chambers St,smoke
11/14/22 9:59 AM,NYC,"BKLYN, QNS, M Train, Delays",Middle Village-Metropolitan Av-bound M trains are running with delays after EMS assisted someone in need on a train at Marcy Av.,Marcy Av,EMS
11/14/22 9:58 AM,NYC,"BKLYN, B, D, and N Trains, Multiple Changes",Southbound B/Q trains will run via the D or N from DeKalb Av to Coney Island-Stillwell Av. We are investigating why a train's brakes were activated at DeKalb Av. Listen to station announcements at 36 St to hear what line your train will operate on. Expect delays in southbound D/N service while they share the track with rerouted trains.,DeKalb Av,brake
11/14/22 9:48 AM,NYC,"BKLYN, F and G Trains, Delays",Southbound F/G trains are running with delays in Brooklyn after FDNY extinguished a track fire at 15 St-Prospect Park.,15 St-Prospect Park,fire
11/14/22 9:23 AM,NYC,"BKLYN, Q Train, Delays",Southbound Q trains are running with delays after we removed a train with a mechanical problem from service at Beverley Rd.,Beverley Rd,mechanical problem
11/14/22 8:58 AM,NYC,"BKLYN, QNS, J Train, Part Suspended","There is no J service between Jamaica Center-Parsons/Archer and Crescent St while we investigate what caused a train's brakes to activate near 111 St. As an alternative for J service between Jamaica Center-Parsons/Archer and Crescent St, consider taking a Q24, Q56, or Q8 bus.",111 St,brake
11/14/22 8:53 AM,NYC,"MANH, 7 Train, Delays",7 trains are delayed in both directions while EMS responds to someone in need of medical help at 34 St-Hudson Yards. The last stop on some 34 St-Hudson Yards-bound 7 trains will be Times Sq-42 St.,34 St-Hudson Yards,EMS
11/14/22 8:47 AM,NYC,"QNS, J Train, Delays",Jamaica Center-Parsons/Archer-bound J trains are delayed while we investigate what caused a train's brakes to be activated near 111 St.,111 St,brake
11/14/22 8:23 AM,NYC,"BKLYN, QNS, J and M Trains, Delays",Jamaica-bound J and Forest Hills-71 Av-bound M trains are delayed while we request EMS for someone in need on a train at Marcy Av.,Marcy Av,EMS
11/14/22 7:59 AM,NYC,"QNS, N and W Trains, Delays",Southbound N/W trains are running with delays after we removed a train with a mechanical problem from service at Astoria-Ditmars Blvd.,Astoria-Ditmars Blvd,mechanical problem
11/14/22 7:11 AM,NYC,"SI, SIR Train, Some Delays",The 7:15 AM SIR from Huguenot to St George will not run. We're running as much service as we can with the train crews we have available.,,We're running as much service as we can
11/14/22 6:38 AM,NYC,"BKLYN, J Train, Local to Express",Jamaica-bound J trains are express from Myrtle Av to Broadway Junction while we request NYPD for an individual being disruptive on a train at Gates Av.,Gates Av,disruptive
11/14/22 6:26 AM,NYC,"BKLYN, MANH, B, D, and F Trains, Multiple Changes",No B service between Manhattan and Brooklyn. Southbound D trains are running via the F line from W 4 St-Wash Sq to Coney Island-Stillwell Av. We are investigating a mechanical problem on a train near Grand St. The last stop on southbound B trains will be 2 Av on the F line. Expect delays in southbound F service while they share the track with rerouted trains.,Grand St,mechanical problem
11/14/22 4:29 AM,NYC,"MANH, A Train, Delays",Northbound A trains are delayed while we investigate why a train's brakes activated at Fulton St.,Fulton St,brake
11/14/22 3:22 AM,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we address a mechanical problem on a train at Marble Hill-225 St.,Marble Hill-225 St,mechanical problem
11/14/22 3:02 AM,NYC,"MANH, N Train, Delays",Northbound N trains are delayed while we investigate what caused a train's brakes to activate at Whitehall St-South Ferry.,Whitehall St-South Ferry,brake
11/14/22 2:40 AM,NYC,"BKLYN, D, N, and R Trains, Delays",Northbound D/N/R trains are delayed while we remove a vandalized train car from service at Union St.,Union St,vandalized
11/14/22 2:09 AM,NYC,"BKLYN, L Train, Delays",8 Av-bound L trains are delayed while we address a door problem on a train at New Lots Av.,New Lots Av,door
11/14/22 12:15 AM,NYC,"QNS, E Train, Delays",E trains are delayed in both directions while we address a switch problem near Jamaica Center-Parsons/Archer.,Jamaica Center-Parsons/Archer,switch
11/13/22 11:37 PM,NYC,"BKLYN, D and N Trains, Delays",Southbound D/N trains are running with delays after we removed a train car in need of cleaning from service at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,cleaning
11/13/22 11:16 PM,NYC,"BKLYN, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we request NYPD assistance for a person being disruptive at Grand Army Plaza.,Grand Army Plaza,disruptive
11/13/22 11:10 PM,NYC,"BKLYN, N and Q Trains, Delays",Northbound N/Q trains are delayed while we investigate why a train's brakes activated near DeKalb Av.,DeKalb Av,brake
11/13/22 10:45 PM,NYC,"MANH, A and D Trains, Delays",Southbound A/D trains are delayed while emergency teams respond to a report of someone struck by a train at 59 St-Columbus Circle.,59 St-Columbus Circle,struck by a train
11/13/22 10:39 PM,NYC,"BX, 4 Train, Delays",Northbound 4 trains are delayed while we remove a train car in need of cleaning from service at 183 St.,183 St,remove a train
11/13/22 10:33 PM,NYC,"MANH, 4 and 5 Trains, Delays",Northbound 4/5 trains are delayed while we remove a train with a door problem from service at Bowling Green.,Bowling Green,remove a train
11/13/22 10:12 PM,NYC,"BKLYN, L Train, Delays",8 Av-bound L trains are delayed while EMS responds to a customer in need at Broadway Junction.,Broadway Junction,EMS
11/13/22 8:39 PM,NYC,"BKLYN, MANH, N, Q, and R Trains, Multiple Changes","N/Q trains are running on the R line in both directions between 34 St-Herald Sq and DeKalb Av. What's Happening? We're removing a train with a mechanical problem from service near Times Sq-42 St. Additional Service Changes: Board all N/Q trains on the upper level R platform at Canal St. Expect delays in N/R/Q service. Planned Work Reminder: There is no Q train service between Lexington Av/63 St and 57 St-7 Av. Q trains run in two sections: 1. Between 96 St and Lexington Av/63 St, every 15 minutes days and evenings 2. Between Coney Island-Stillwell Av and 57 St-7 Av and via the N to/from Astoria-Ditmars Blvd every 12 minutes days and evenings",Times Sq-42 St,mechanical problem
11/13/22 8:19 PM,NYC,"BX, 4 Train, Delays",4 trains are delayed entering/leaving Woodlawn while we request EMS assistance for a person in need at that station.,Woodlawn while we request EMS assistance for a person in need at that station,EMS
11/13/22 8:08 PM,NYC,"MANH, D Train, Delays",D trains are running with delays in both directions after we restored a loss of third rail power near 145 St.,145 St,rail
11/13/22 6:48 PM,NYC,"BKLYN, MANH, N, Q, and R Trains, Multiple Changes","Southbound: Q trains are running local from 34 St-Herald Sq to Canal St. N/Q are running on the R line from Canal St to DeKalb Av. What's Happening? We're addressing a mechanical problem on a train at Times Sq-42 St. Additional Service Changes: Board all N/Q trains on the upper level R platform at Canal St. Expect delays in N/R/Q service. Planned Work Reminder: There is no Q train service between Lexington Av/63 St and 57 St-7 Av. Q trains run in two sections: 1. Between 96 St and Lexington Av/63 St, every 15 minutes days and evenings 2. Between Coney Island-Stillwell Av and 57 St-7 Av and via the N to/from Astoria-Ditmars Blvd every 12 minutes days and evenings",Times Sq-42 St,mechanical problem
11/13/22 6:21 PM,NYC,"MANH, N and Q Trains, Delays","Southbound N/Q trains are delayed while we address a mechanical problem on a train at Times Sq-42 St. Planned Work Reminder: There is no Q train service between Lexington Av/63 St and 57 St-7 Av. Q trains run in two sections: 1. Between 96 St and Lexington Av/63 St, every 15 minutes days and evenings 2. Between Coney Island-Stillwell Av and 57 St-7 Av and via the N to/from Astoria-Ditmars Blvd every 12 minutes days and evenings",Times Sq-42 St,mechanical problem
