index,date,agency,subject,message,station,cause
1430,11/17/22 12:10,NYC,"BX, 2 and 5 Trains, Delays",2/5 trains are running with delays in both directions after we addressed a signal malfunction near 149 St-Grand Concourse.,149 St-Grand Concourse,signal
1432,11/17/22 11:14,NYC,"MANH, F Train, Delays",Southbound F trains are delayed while we investigate why a train's brakes activated leaving East Broadway.,East Broadway,brake
1433,11/17/22 10:40,NYC,"MANH, R and W Trains, Local to Express",Northbound R/W trains are running with delays after EMS assisted someone in need of medical help at 14 St-Union Sq. Northbound R/W trains have resumed making their regular stops.,14 St-Union Sq,EMS
1434,11/17/22 10:24,NYC,"MANH, R and W Trains, Local to Express","Northbound R/W trains are running on the express track from Canal St to 34 St-Herald Sq. EMS is responding to someone in need of medical help at 14 St-Union Sq. If your station is skipped, take a southbound train.",14 St-Union Sq,EMS
1435,11/17/22 10:21,NYC,"MANH, B and C Trains, Delays",Southbound B/C trains are running with delays after we removed a train that was vandalized from service at 116 St .,116 St,vandalized
1437,11/17/22 9:47,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after we requested NYPD assistance for a person being disruptive at Fulton St.,Fulton St,disruptive
1438,11/17/22 9:44,NYC,"MANH, L Train, Delays",L trains are running with delays in both directions after someone was being disruptive at 14 St-Union Sq.,14 St-Union Sq,disruptive
1442,11/17/22 8:44,NYC,"QNS, N and W Trains, Delays",Northbound N/W trains are delayed while we remove a train with a door problem from service at 39 Av-Dutch Kills .,39 Av-Dutch Kills,door
1444,11/17/22 8:35,NYC,"BX, 5 Train, Delays",Southbound 5 trains are delayed while we request EMS assistance for a person in need of medical attention at Gun Hill Rd.,Gun Hill Rd,EMS
1445,11/17/22 8:12,NYC,"MANH, B and D Trains, Delays",Southbound B/D trains are running with delays after we moved a train that had its brakes activated at Grand St.,Grand St,brake
1448,11/17/22 8:03,NYC,"BKLYN, N and W Trains, Delays",You may wait longer for a southbound N/W train after we performed track maintenance near 59 St .,59 St,track maintenance
1451,11/17/22 7:19,NYC,"BX, 2 and 5 Trains, Local to Express","Northbound 2/5 trains are running express from 3 Av-149 St to E 180 St. Southbound 5 trains are running the local track in the Bronx. We are requesting EMS assistance for a person in need of medical help at Jackson Av . For service to/from bypassed stations, take a southbound train.",Bronx,EMS
1452,11/17/22 7:16,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while we remove a train with a mechanical problem from service at Jay St-MetroTech .,Jay St-MetroTech ,mechanical problem
1453,11/17/22 7:13,NYC,"SI, SIR Train, Delays",The following SIR trips will not run: St George : 7:01 AM Tottenville : 7:45 AM We're running as much service as we can with the train crews we have available.,na,We're running as much service as we can
1457,11/17/22 6:19,NYC,"BX, 6 Train, Delays",Southbound 6 trains are delayed while we investigate a train with a mechanical problem at Longwood Av.,Longwood Av,mechanical problem
1459,11/17/22 5:51,NYC,"QNS, E, F, M, and R Trains, Delays",E/F/R/M trains are delayed in both directions in Queens while we perform signal maintenance near 36 St.,36 St,signal
1460,11/17/22 5:34,NYC,"BKLYN, N Train, Local to Express","Southbound N trains are running express from Atlantic Av-Barclays Ctr to 59 St . Our crews are performing urgent track maintenance near 59 St . For service to/from bypassed stations, consider using D/R service. Expect delays in southbound R train service.",59 St,track maintenance
1462,11/17/22 5:22,NYC,"MANH, 1, 2, and 3 Trains, Delays",1/2/3 trains are delayed in both directions while NYPD conducts an investigation at 96 St.,96 St,investigation
1468,11/17/22 3:54,NYC,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we address a switch problem near 149 St-Grand Concourse.,149 St-Grand Concourse,switch
1470,11/17/22 3:49,NYC,"MANH, A and E Trains, Delays",Northbound A/E trains are delayed while we address a signal problem near 42 St-Port Authority Bus Terminal.,42 St-Port Authority Bus Terminal,signal
1471,11/17/22 3:42,NYC,"MANH, 1 and 2 Trains, Delays",Northbound 1/2 trains are delayed while we conduct track inspections between Chambers St and Franklin St.,Chambers St,track maintenance
1478,11/17/22 2:44,NYC,"MANH, A and F Trains, Delays",Southbound A/F trains are delayed while we replace rails near East Broadway.,East Broadway,replace rails
1480,11/17/22 2:31,NYC,"QNS, F Train, Express to Local",Southbound F trains are running on the local track from Jackson Hts-Roosevelt Av to 36 St while we troubleshoot a switch problem near 36 St. Southbound E trains are delayed.,36 St,switch
1481,11/17/22 2:17,NYC,"BKLYN, J Train, Delays",Broad St-bound J trains are delayed while NYPD responds to a person being disruptive aboard a train at Broadway Junction.,Broadway Junction,disruptive
1483,11/17/22 1:48,NYC,"MANH, 4 and 6 Trains, Delays",Southbound 4/6 trains are delayed while EMS responds to a person in need of medical help at Bleecker St.,Bleecker St,EMS
1484,11/17/22 1:47,NYC,"BKLYN, F and G Trains, Local to Express","Southbound F/G trains are running express from Smith-9 Sts to Church Av. Our crews are replacing rails near 7 Av. For service to/from bypassed stations, take a northbound train.",7 Av,rail
1486,11/17/22 1:09,NYC,"QNS, E and F Trains, Delays",Northbound E/F trains are delayed while NYPD conducts an investigation at 75 Av.,75 Av,investigation
1490,11/16/22 23:51,NYC,"QNS, F Train, Delays",F trains are delayed in both directions while NYPD conducts an investigation at Parsons Blvd.,Parsons Blvd,investigation
1491,11/16/22 23:43,NYC,"MANH, 1 Train, Local to Express","Southbound 1 trains are running express from 96 St to 72 St. Our crews are investigating why a train's brakes were activated at 79 St. For service to/from bypassed stations, take a northbound train. Expect delays in 2/3 service as they share a track with rerouted trains.",79 St,brake
1493,11/16/22 23:32,NYC,"MANH, N and R Trains, Delays",Southbound N/R trains are delayed while we request EMS assistance for someone in need of medical help at 8 St-NYU.,8 St-NYU,EMS
1495,11/16/22 23:21,NYC,"BKLYN, D, N, and R Trains, Delays",Southbound D/N/R trains are delayed while NYPD responds to a person being disruptive aboard a train at 4 Av-9 St.,4 Av-9 St,disruptive
1498,11/16/22 21:54,NYC,"MANH, L Train, Delays",L trains are delayed entering/leaving 8 Av while NYPD responds to a person being disruptive on a train at that station.,8 Av,disruptive
1504,11/16/22 21:19,NYC,"BKLYN, D, N, and R Trains, Delays",Northbound D/N/R trains are delayed while we remove a train car in need of cleaning from service at Union St.,Union St,cleaning
1505,11/16/22 21:19,NYC,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we address a switch problem near 149 St-Grand Concourse.,149 St-Grand Concourse,switch
1508,11/16/22 21:12,NYC,"MANH, L Train, Delays",L trains are delayed in both directions while we investigate why a train's brakes activated at 8 Av.,8 Av,brake
1512,11/16/22 20:39,NYC,"MANH, 6 Train, Delays",6 trains are delayed in both directions while we request NYPD assistance with a person being disruptive at Brooklyn Bridge-City Hall.,Brooklyn Bridge-City Hall,disruptive
1514,11/16/22 20:19,NYC,"MANH, 4, 5, and 6 Trains, Delays",4/5/6 trains are running with delays in both directions after NYPD removed an unauthorized person from the tracks near 77 St. Trains have resumed making regular stops and arriving on their designated platform.,77 St,unauthorized person
1516,11/16/22 20:14,NYC,"MANH, R and W Trains, Delays",Northbound R/W trains are delayed while we request EMS assistance for a person in need on a train at Whitehall St-South Ferry .,Whitehall St-South Ferry ,EMS
1517,11/16/22 20:00,NYC,"MANH, A, B, C, and D Trains, Delays",Southbound A/B/C/D trains are running with delays while our crews perform necessary track maintenance at 59 St-Columbus Circle. Southbound C trains have resumed making local stops from 125 St to 59 St-Columbus Circle.,59 St-Columbus Circle,track maintenance
1518,11/16/22 19:27,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are running with delays after NYPD and EMS assisted an assaulted employee at Parkside Av. Northbound Q trains have resumed making local stops from Kings Hwy to Prospect Park.,Parkside Av,EMS
1519,11/16/22 19:25,NYC,"MANH, 4, 5, and 6 Trains, Multiple Changes","6 trains are running express in both directions between 125 St and Grand Central-42 St. We are requesting NYPD assistance with an unauthorized person on the tracks near 77 St. At 86 St and 59 St, 6 trains will arrive on the lower level platform. You may wait longer for a 4/5 train while they share the tracks with rerouted trains.",77 St,unauthorized person
1520,11/16/22 19:11,NYC,"BKLYN, Q Train, Delays","Northbound Q trains are running express from Kings Hwy to Prospect Park while we request NYPD and EMS assistance for an assaulted employee at Parkside Av. For service to/from bypassed stations, take a southbound Q train.",Parkside Av,EMS
1521,11/16/22 18:59,NYC,"MANH, 6 Train, Delays",Southbound 6 trains are running with delays after we addressed a door problem on a train at 33 St.,33 St,door
1524,11/16/22 18:18,NYC,"MANH, B and C Trains, Delays",Southbound B/C trains are delayed while we address a mechanical problem on a train at 59 St-Columbus Circle .,59 St-Columbus Circle,mechanical problem
1526,11/16/22 17:42,NYC,"BKLYN, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we remove a vandalized train car from service at President St-Medgar Evers College.,President St-Medgar Evers College,vandalized
1527,11/16/22 17:38,NYC,"MANH, B and D Trains, Delays",Southbound B/D trains are running with delays after we moved a train that had its brakes activated at 42 St-Bryant Pk.,42 St-Bryant Pk,brake
1529,11/16/22 17:08,NYC,"MANH, 1, 2, and 3 Trains, Multiple Changes","Northbound 1 trains are running express from Chambers St to 34 St-Penn Station while we remove a train with a door problem from service at Chambers St. For service to/from bypassed stations, take a southbound 1 train. At 34 St-Penn Station, northbound 1 trains will arrive on the center 2/3 platform. You may wait longer for a northbound 2/3 train while they share the track with rerouted trains.",Chambers St,door
1531,11/16/22 16:55,NYC,"MANH, 4, 5, and 6 Trains, Multiple Changes","Northbound 4/5 trains are running local from Grand Central-42 St to 125 St while we request NYPD assistance for a person being disruptive at 59 St. At 59 St and 86 St, 4/5 trains will arrive on the upper level 6 platform. You may wait longer for a northbound 6 train while they share the track with rerouted trains.",59 St,disruptive
1532,11/16/22 16:24,NYC,"QNS, A Train, Delays",Southbound A trains are running at slower speeds while we address a signal problem near 88 St .,88 St,signal
1534,11/16/22 16:13,NYC,"MANH, 1, 2, and 3 Trains, Multiple Changes",Northbound 2/3 trains are running on the local track from Times Sq-42 St to 72 St. We are requesting NYPD assistance with a person being disruptive at Times Sq-42 St. You may wait longer for a northbound 1 train while they share the track with rerouted trains.,Times Sq-42 St,disruptive
1536,11/16/22 16:07,NYC,"BKLYN, D, N, and R Trains, Delays",Northbound D/N/R trains are delayed while we remove debris from the tracks at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,remove debris
1538,11/16/22 15:34,NYC,"BX, D Train, Delays",Southbound D trains are delayed while we remove a train with a door problem from service at Kingsbridge Rd.,Kingsbridge Rd,door
1540,11/16/22 15:08,NYC,"BX, 5 Train, Delays",Southbound 5 trains are delayed while we investigate what caused a train's brakes to activate at Baychester Av.,Baychester Av,brake
1541,11/16/22 15:06,NYC,"MANH, A, B, C, and D Trains, Delays",Southbound A/B/C/D trains are running with delays after we removed a train with a mechanical problem from service at 125 St. Trains have resumed making regular stops.,125 St,mechanical problem
1545,11/16/22 14:50,NYC,"MANH, A and D Trains, Delays",Southbound A/D trains are delayed while we address a mechanical problem on a train at 125 St .,125 St,mechanical problem
1547,11/16/22 14:34,NYC,"BKLYN, A Train, Delays",Southbound A trains are delayed while we remove a train car in need of cleaning from service at Utica Av.,Utica Av,cleaning
1548,11/16/22 14:24,NYC,"BKLYN, C Train, Delays",Northbound C trains are running with delays after we moved a train that had its brakes activated near Hoyt-Schermerhorn Sts .,Hoyt-Schermerhorn Sts ,brake
1564,11/16/22 13:51,NYC,"MANH, R and W Trains, Delays",Southbound R/W trains are running with delays after we addressed a mechanical problem at Cortlandt St.,Cortlandt St,mechanical problem
1565,11/16/22 13:46,NYC,"BKLYN, B and Q Trains, Multiple Changes",Northbound Q trains are running on the N line from Coney Island-Stillwell Av to Atlantic Av while we remove a train from service at Kings Hwy. Northbound B trains are holding in stations in Brooklyn.,Kings Hwy,na
1566,11/16/22 13:39,NYC,"MANH, Q Train, Delays",Southbound Q trains are running with delays after we investigated why a train's brakes were activated at 86 St.,86 St,brake
1572,11/16/22 12:36,NYC,"BKLYN, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we perform track maintenance near Church Av.,Church Av,track maintenance
1573,11/16/22 12:32,NYC,"BKLYN, F and G Trains, Delays",Northbound F/G trains are running with delays after we repaired a rail near Church Av. Northbound F/G trains have resumed making their regular stops.,Church Av,rail
1576,11/16/22 11:53,NYC,"MANH, A, C, and E Trains, Multiple Changes",Northbound A trains are running on the local track from Canal St to 59 St-Columbus Circle while EMS responds to someone in need at W 4 St-Wash Sq. Northbound C/E trains are delayed while they share the same track with rerouted trains.,W 4 St-Wash Sq,EMS
1577,11/16/22 11:38,NYC,"MANH, 1 Train, Delays",Northbound 1 trains have resumed stopping at 137 St-City College after NYPD completed their investigation at that station.,137 St-City College,investigation
1578,11/16/22 11:27,NYC,"BKLYN, F and G Trains, Delays",Northbound F/G trains are delayed while we perform track maintenance near Kings Hwy and Church Av.,na,track maintenance
1580,11/16/22 10:44,NYC,"BKLYN, D and N Trains, Delays",Southbound D/N trains are delayed while we remove a train with a mechanical problem from service at 36 St.,36 St,mechanical problem
1584,11/16/22 9:24,NYC,"MANH, N, R, and W Trains, Delays",Southbound N/R/W trains are delayed while we remove a train with a mechanical problem from service at Times Sq-42 St.,Times Sq-42 St,mechanical problem
1586,11/16/22 9:11,NYC,"MANH, 1 Train, Stations Skipped","Northbound 1 trains are not stopping at 137 St-City College while NYPD conducts an investigation at that station. For service to/from 137 St-City College, take a southbound train.",137 St-City College,investigation
1587,11/16/22 9:10,NYC,"MANH, F Train, Delays",Southbound F trains are delayed while we remove a train with a door problem from service at 137 St-City College.,137 St-City College,door
1588,11/16/22 8:51,NYC,"MANH, N, Q, R, and W Trains, Delays",Southbound N/Q/R/W are delayed while NYPD responds to an unauthorized person on the tracks at 34 St-Herald Sq.,34 St-Herald Sq,unauthorized person
1590,11/16/22 8:34,NYC,"BKLYN, B and Q Trains, Delays",Northbound B/Q trains are running with delays while we address a signal problem at Parkside Av.,Parkside Av,signal
1591,11/16/22 8:31,NYC,"MANH, Q Train, Delays",Southbound Q trains are running with delays after we removed a train with a door problem from service at 86 St.,86 St,door
1593,11/16/22 8:04,NYC,"BKLYN, N and R Trains, Delays",Northbound N/R trains are running with delays in Brooklyn after we moved an out-of-service train near 36 St.,36 St,na
1594,11/16/22 7:57,NYC,"BKLYN, L Train, Delays",Canarsie-bound L trains are delayed while we remove a train with a door problem from service at Atlantic Av.,Atlantic Av,door
1596,11/16/22 7:31,NYC,"MANH, B and D Trains, Some Delays",Southbound B/D trains are delayed while we address a signal problem at 42 St-Bryant Pk.,42 St-Bryant Pk,signal
1597,11/16/22 7:18,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after NYPD responded to someone being disruptive at Bowling Green.,Bowling Green,disruptive
1598,11/16/22 7:15,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are running with delays after we requested NYPD assistance for a person being disruptive at Spring St.,Spring St,disruptive
1599,11/16/22 7:07,NYC,"MANH, B and D Trains, Delays",Southbound B/D trains are running with delays after NYPD was requested for someone being disruptive on a train at 42 St-Bryant Pk.,42 St-Bryant Pk,disruptive
1600,11/16/22 6:57,NYC,"MANH, 3 Train, Delays",Southbound 3 trains are running with delays after we removed a train with a mechanical problem from service at Times Sq-42 St.,Times Sq-42 St,mechanical problem
1601,11/16/22 6:50,NYC,"BKLYN, 2 and 3 Trains, Delays",Southbound 2/3 trains are running with delays after we requested NYPD assistance for a person being disruptive at Borough Hall.,Borough Hall,disruptive
1602,11/16/22 6:46,NYC,"BX, 2 Train, Delays",Southbound 2 trains are running with delays after we removed a train with a door problem from service at 225 St.,225 St,door
1603,11/16/22 6:38,NYC,"MANH, A Train, Delays",Northbound A trains are running with delays after we removed debris from the tracks at 59 St-Columbus Circle.,59 St-Columbus Circle,debris
1606,11/16/22 5:49,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we remove a train with a mechanical problem from service at 215 St.,215 St,mechanical problem
1607,11/16/22 5:44,NYC,"BX, D Train, Delays",D trains are delayed in both directions while we investigate a loss of third-rail power near Fordham Rd.,Fordham Rd,loss of power
1613,11/16/22 3:55,NYC,"BKLYN, F and G Trains, Local to Express","Northbound F and G trains are running express from Church Av to Smith-9 Sts. Our crews are replacing rails near 7 Av. For service to/from bypassed stations, take a southbound train.",7 Av,rail
1615,11/16/22 2:39,NYC,"BKLYN, Franklin Av S Train, Delays",FS trains are delayed in both directions while we address a switch problem near Botanic Garden.,Botanic Garden,switch
1618,11/16/22 2:03,NYC,"BX, 5 Train, Delays",Southbound 5 trains are delayed while we investigate why a train's brakes were activated at Baychester Av.,Baychester Av,brake
1621,11/16/22 1:31,NYC,"MANH, 4 and 6 Trains, Delays",4/6 trains are delayed in both directions while NYPD responds to an unauthorized person on the tracks near Brooklyn Bridge-City Hall.,Brooklyn Bridge-City Hall,unauthorized person
1622,11/16/22 1:24,NYC,"BX, 4 Train, Delays",Southbound 4 trains are delayed while we investigate why a train's brakes were activated at Mosholu Pkwy.,Mosholu Pkwy,brake
1624,11/16/22 1:00,NYC,"QNS, A Train, Delays",Southbound A trains are delayed while we troubleshoot a signal malfunction at 88 St.,88 St,signal
1626,11/16/22 0:57,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we remove debris from the tracks near Prospect Park.,Prospect Park,remove debris
1627,11/16/22 0:53,NYC,"MANH, 4 Train, Delays",Northbound 4 trains are running with delays after EMS assisted someone in need of medical help at 125 St.,125 St,EMS
1629,11/15/22 23:18,NYC,"BKLYN, D Train, Delays",Southbound D trains are delayed while we address a signal problem near Bay 50 St.,Bay 50 St,signal
1630,11/15/22 23:16,NYC,"BKLYN, N Train, Local to Express","Southbound N trains are running express from Atlantic Av-Barclays Ctr to 59 St. Our crews are performing urgent track maintenance near 59 St. For service to/from bypassed stations, consider using D/R service.",59 St,track maintenance
1635,11/15/22 22:05,NYC,"7 Train, Delays",7 trains are delayed in both directions while FDNY responds to a track fire in the tunnel between Manhattan and Queens.,na,fire
1637,11/15/22 21:45,NYC,"MANH, 1 Train, Local to Express",Northbound 1 trains are running on the express track from 72 St to 96 St while we conduct an investigation at 79 St. Expect a longer wait for a northbound 2/3 train while they share the track with rerouted trains.,79 St,na
1638,11/15/22 21:28,NYC,"QNS, N and W Trains, Delays",Northbound N/W trains are running with delays after we addressed a door problem on a train at 36 Av.,36 Av,door
1639,11/15/22 21:19,NYC,"BKLYN, L Train, Delays",L trains are running with delays in both directions after NYPD responded to a person being disruptive at East 105 St.,East 105 St,disruptive
1642,11/15/22 21:03,NYC,"BKLYN, A and C Trains, Multiple Changes","Northbound C trains are running express from Broadway Junction to Hoyt-Schermerhorn Sts. What's Happening? NYPD is responding to an unauthorized person on the tracks at Nostrand Av. Additional Service Updates: If your stop is skipped, take a southbound local train. Board all trains on the upper level at Nostrand Av. Expect delays in A/C service while trains share tracks.",Nostrand Av,unauthorized person
1643,11/15/22 21:02,NYC,"MANH, 2 and 3 Trains, Some Delays",Northbound 2/3 trains are running with delays after we addressed a door problem on a train at 72 St.,72 St,door
1645,11/15/22 20:50,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while NYPD responds to an unauthorized person on the tracks at Nostrand Av.,Nostrand Av,unauthorized person
1649,11/15/22 20:34,NYC,"MANH, 1 Train, Delays",Southbound 1 trains are delayed while we address a door problem on a train at 79 St.,79 St,door
1651,11/15/22 20:26,NYC,"BKLYN, N and R Trains, Delays",Southbound N/R trains are delayed while we conduct urgent track maintenance near 59 St (Brooklyn).,59 St (Brooklyn),track maintenance
1652,11/15/22 20:23,NYC,"MANH, B and D Trains, Delays",You may wait longer for a southbound B/D train in Brooklyn after we addressed a signal problem near 42 St-Bryant Pk.,42 St-Bryant Pk,signal
1653,11/15/22 19:32,NYC,"MANH, N Train, Delays",Southbound N trains are running with delays after we investigated reports of people being disruptive at 86 St (Brooklyn).,86 St (Brooklyn),disruptive
1655,11/15/22 19:22,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are running with delays after we investigated reports of people being disruptive at 103 St.,103 St,disruptive
1656,11/15/22 18:58,NYC,"BKLYN, G Train, Delays",Church Av-bound G trains are running with delays after we removed a train with a mechanical problem from service at 4 Av-9 St.,4 Av-9 St,mechanical problem
1658,11/15/22 18:45,NYC,"MANH, C, E, F, and M Trains, Multiple Changes",Northbound C/E/F and Forest Hills-bound M trains are running with delays while we address a signal problem near Lexington Av/53 St. Additional Service Changes: Some C trains are running express from Canal St to 59 St-Columbus Circle Some M trains are running via the F line from 47-50 Sts-Rockefeller Ctr to Jackson Hts-Roosevelt Av,Lexington Av/53 St,signal
1659,11/15/22 18:42,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while we remove a train with a mechanical problem from service at Broadway Junction.,Broadway Junction,mechanical problem
1660,11/15/22 18:26,NYC,"BX, 2 Train, Delays",Northbound 2 trains are running with delays after EMS responded to a person in need of medical help at Jackson Av. Northbound 2 trains have resumed running on the local track from 3 Av-149 St to E 180 St.,Jackson Av,EMS
1664,11/15/22 17:57,NYC,"BX, 2 Train, Local to Express","Northbound 2 trains are running express from 3 Av-149 St to E 180 St while we request medical help for someone at Jackson Av. If your stop is skipped, take a southbound train.",Jackson Av,medical help
1666,11/15/22 17:53,NYC,"MANH, R and W Trains, Delays",Southbound R/W trains are delayed while we remove a vandalized train car from service at 8 St-NYU.,8 St-NYU,vandalized
1667,11/15/22 17:52,NYC,"MANH, N, R, and W Trains, Some Delays",Southbound N/R/W trains are running with delays after we addressed a door problem on a train at Lexington Av/59 St.,Lexington Av/59 St,door
1668,11/15/22 17:44,NYC,"MANH, A, C, and E Trains, Multiple Changes",Southbound C/E trains are running at slower speeds while we address a signal problem near 34 St-Penn Station. Some E trains will run express from 42 St-Port Authority Bus Terminal to Canal St. Expect delays in A/C/E service while trains share tracks.,34 St-Penn Station,signal
1669,11/15/22 17:38,NYC,"QNS, 7 Train, Delays",Main St-bound 7 trains are running with delays after we moved a train that had its emergency brake cord pulled at Junction Blvd.,Junction Blvd,brake
1671,11/15/22 16:50,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are running with delays after NYPD responded to a person being disruptive at 72 St.,72 St,disruptive
1672,11/15/22 16:47,NYC,"6 Train, Delays",Northbound 6 trains are running with delays after we investigated reports of someone being disruptive earlier in the Bronx.,Bronx,disruptive
1673,11/15/22 16:35,NYC,"QNS, E and F Trains, Delays",Southbound E/F trains are running with delays after we moved multiple trains that had their brakes activated near Elmhurst Av.,Elmhurst Av,brake
1675,11/15/22 16:18,NYC,"MANH, A, C, and E Trains, Delays",Northbound A/C/E trains are delayed while we remove a train with a mechanical problem from service at Canal St.,Canal St,mechanical problem
1677,11/15/22 16:06,NYC,"MANH, C and E Trains, Delays",Northbound C/E trains are delayed while we investigate a report of a person being disruptive on a train at Spring St.,Spring St,disruptive
1679,11/15/22 15:34,NYC,"MANH, F and M Trains, Delays",Coney Island-bound F and Metropolitan Av-bound M trains are delayed while we address a door problem on a train at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,door
1681,11/15/22 15:17,NYC,"BKLYN, B Train, Delays",Northbound B trains are running with delays after we moved a train that had its emergency brake cord pulled at Cortelyou Rd.,Cortelyou Rd,brake
1685,11/15/22 15:05,NYC,"MANH, F and M Trains, Delays",Coney Island-bound F and Metropolitan Av-bound M trains are delayed while NYPD responds to a person being disruptive at W 4 St-Wash Sq.,W 4 St-Wash Sq,disruptive
1687,11/15/22 14:52,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we address a mechanical problem on a train at 14 St.,14 St,mechanical problem
1689,11/15/22 14:32,NYC,"MANH, C and E Trains, Delays",Northbound C/E trains are delayed while NYPD responds to a person being disruptive on a train at 14 St.,14 St,disruptive
1691,11/15/22 13:17,NYC,"BKLYN, MANH, L Train, Delays",8 Av-bound L trains are delayed while we investigate a door problem on a train at DeKalb Av.,DeKalb Av,door
1693,11/15/22 12:52,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we remove a train in need of cleaning from service at Freeman St.,Freeman St,cleaning
1694,11/15/22 12:28,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are running with delays after we moved a train car that was vandalized from service at Brighton Beach.,Brighton Beach,vandalized
1696,11/15/22 12:13,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we remove a train with a mechanical problem from service at 14 St-Union Sq.,14 St-Union Sq,mechanical problem
1698,11/15/22 11:24,NYC,"QNS, E, F, M, and R Trains, Delays",Southbound E/F/M/R trains are delayed while we investigate an earlier signal problem near 36 St.,36 St,signal
1700,11/15/22 10:00,NYC,"N and Q Trains, Some Reroutes",Southbound N/Q trains are delayed while we address a signal problem on the Manhattan Bridge. Some southbound N/Q trains will run on the R line from Canal St to DeKalb Av. Listen for train announcements to hear if your train will be rerouted.,Manhattan Bridge,signal
1702,11/15/22 9:38,NYC,"MANH, R and W Trains, Local to Express",Northbound R/W trains are running on the express track from Canal St to 34 St-Herald Sq. EMS is responding to someone in need of medical help at Canal St.,Canal St,EMS
1704,11/15/22 9:24,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we request NYPD assistance for someone being disruptive on a train at Grand Central-42 St.,Grand Central-42 St,disruptive
1705,11/15/22 9:05,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after we requested EMS for someone in need of medical assistance on a train at 14 St-Union Sq.,14 St-Union Sq,EMS
1709,11/15/22 8:18,NYC,"QNS, M and R Trains, Delays",M/R trains are delayed in both directions while FDNY extinguishes a track fire at Grand Av-Newtown.,Grand Av-Newtown,fire
1711,11/15/22 8:04,NYC,"MANH, A Train, Delays",Southbound A trains are running with delays after we removed a train with a mechanical problem from service at W 4 St-Wash Sq. Southbound A express service has resumed from 59 St-Columbus Circle to Canal St.,W 4 St-Wash Sq,mechanical problem
1712,11/15/22 8:01,NYC,"QNS, J Train, Delays",J trains are running with delays in both directions after we moved a train that had its brakes activated at 104 St.,104 St,brake
1713,11/15/22 8:01,NYC,"BX, D Train, Local to Express",Southbound D trains are running express from Bedford Park Blvd to Tremont Av while EMS responds to someone in need of medical help at Tremont Av.,Tremont Av,EMS
1716,11/15/22 7:58,NYC,"MANH, A and D Trains, Express to Local",Northbound A/D trains are running on the local track from 59 St-Columbus Circle to 125 St while FDNY investigates a report of smoke at 125 St.,125 St,smoke
1717,11/15/22 7:38,NYC,"MANH, A Train, Express to Local",Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St. We're removing a train with a mechanical problem from service at W 4 St-Wash Sq.,W 4 St-Wash Sq,mechanical problem
1719,11/15/22 7:16,NYC,"N and Q Trains, Some Reroutes",Southbound N/Q trains are delayed while we address a signal problem on the Manhattan Bridge. Some southbound N/Q trains are running on the R line from Canal St to DeKalb Av.,Manhattan Bridge,signal
1721,11/15/22 6:44,NYC,"BKLYN, 2, 3, 4, and 5 Trains, Delays",Northbound 2/3/4/5 trains are running with delays after NYPD responded to an unauthorized person on the tracks at Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,unauthorized person
1725,11/15/22 6:17,NYC,"BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we request EMS for someone on a train at Grand Army Plaza and remove that train from service.,Grand Army Plaza,EMS
1727,11/15/22 6:10,NYC,"QNS, E, M, and R Trains, Delays",Jamaica-bound E and Forest Hills-71 Av-bound R/M trains are delayed while we remove a train with a mechanical problem from service at Northern Blvd.,Northern Blvd,mechanical problem
1730,11/15/22 5:18,NYC,"MANH, A Train, Local to Express","Southbound A trains are running express from 145 St to 125 St while we address a signal problem near 145 St. For service to/from 135 St, take a northbound train.",145 St,signal
1731,11/15/22 4:44,NYC,"1 and 2 Trains, Local to Express","Southbound 1/2 trains are running express from 14 St to Chambers St while we replace rails near Houston st. For service to/from bypassed stations, take a northbound train.",Houston st,replace rails
